domain,source,drop_date,category_hint,notes
fusionflare.com,GoDaddy Auctions,2026-03-03,tech,"strong compound"
gogenie.com,GoDaddy Auctions,2026-03-04,ai,"consumer AI feel"
weatherpulse.com,Afternic,2026-03-05,tech,"clear SaaS/data use case"
stackscan.com,Atom,2026-03-04,tech,"devtools/security vibe"
cashlogic.com,GoDaddy Auctions,2026-03-03,finance,"fintech compound"
artlink.ai,Namecheap,2026-03-05,ai,"creative AI signal"
consistent.io,GoDaddy Auctions,2026-03-06,tech,"clean SaaS adjective"
mindhealth.io,GoDaddy Auctions,2026-03-07,health,"telehealth/wellness"
austinmap.com,GoDaddy Auctions,2026-03-07,geo,"city utility"
coinfactor.com,GoDaddy Auctions,2026-03-08,finance,"crypto/analytics"
neuralgame.com,GoDaddy Auctions,2026-03-08,ai,"AI + gaming"
upfolio.com,GoDaddy Auctions,2026-03-09,brand,"portfolio/startup brand"
detroitcmo.com,GoDaddy Auctions,2026-03-09,geo,"local business use"
tokenmate.com,GoDaddy Auctions,2026-03-10,tech,"web3 companion"
significantai.com,Namecheap,2026-03-03,ai,"AI-forward compound"
